source_key,series_id,model_name,brand,price_min_wan,price_max_wan,level_name,body_structure,energy_type,seats,range_km,fuel_consumption,horsepower,model_year,sales,sales_period,trim_count,source_url,options_url,sales_url,captured_at
129359_插混,129359,岚图梦想家 插混版,岚图汽车,30.99,70.99,中大型MPV,MPV,插混,7,,,150,2027,6926,2026-06,17,https://www.16888.com/129359/,https://www.16888.com/129359/options/,https://xl.16888.com/s/129359/,2026-07-10
129359_纯电,129359,岚图梦想家 纯电版,岚图汽车,30.99,46.99,中大型MPV,MPV,纯电,7,,,,2026,6926,2026-06,13,https://www.16888.com/129359/,https://www.16888.com/129359/options/,https://xl.16888.com/s/129359/,2026-07-10
129961_插混,129961,豹5,方程豹,23.98,32.98,SUV,SUV,插混,5,,,194,2026,2171,2026-06,10,https://www.16888.com/129961/,https://www.16888.com/129961/options/,https://xl.16888.com/s/129961/,2026-07-10
129946_插混,129946,哈弗猛龙新能源,长城汽车,17.38,20.88,紧凑型SUV,SUV,插混,5,,,156,2026,7603,2026-06,8,https://www.16888.com/129946/,https://www.16888.com/129946/options/,https://xl.16888.com/s/129946/,2026-07-10
130091_插混,130091,风云T9,奇瑞汽车,11.99,16.99,SUV,SUV,插混,5,,,156,2026,1950,2026-04,9,https://www.16888.com/130091/,https://www.16888.com/130091/options/,https://xl.16888.com/s/130091/,2026-07-10
129841_插混,129841,领克08 EM-P,领克,17.58,22.88,SUV,SUV,插混,5,,,163,2026,2123,2026-06,5,https://www.16888.com/129841/,https://www.16888.com/129841/options/,https://xl.16888.com/s/129841/,2026-07-10
128331_插混,128331,沃尔沃XC60插电式混动,沃尔沃亚太,52.39,60.39,SUV,SUV,插混,5,,,310,2026,28,2026-06,3,https://www.16888.com/128331/,https://www.16888.com/128331/options/,https://xl.16888.com/s/128331/,2026-07-10
128404_燃油,128404,长安CS75PLUS 燃油版,长安汽车,10.89,14.39,紧凑型SUV,SUV,燃油,5,,,245,2026,11682,2026-06,12,https://www.16888.com/128404/,https://www.16888.com/128404/options/,https://xl.16888.com/s/128404/,2026-07-10
128404_混动,128404,长安CS75PLUS 混动版,长安汽车,10.99,13.99,紧凑型SUV,SUV,混动,5,,,150,2026,11682,2026-06,4,https://www.16888.com/128404/,https://www.16888.com/128404/options/,https://xl.16888.com/s/128404/,2026-07-10
128669_燃油,128669,威兰达 燃油版,广汽丰田,16.98,20.18,紧凑型SUV,SUV,燃油,5,,,171,2026,11040,2026-06,4,https://www.16888.com/128669/,https://www.16888.com/128669/options/,https://xl.16888.com/s/128669/,2026-07-10
128669_混动,128669,威兰达 混动版,广汽丰田,17.98,23.08,紧凑型SUV,SUV,混动,5,,,185,2026,11040,2026-06,5,https://www.16888.com/128669/,https://www.16888.com/128669/options/,https://xl.16888.com/s/128669/,2026-07-10
129098_燃油,129098,星越L 燃油版,吉利汽车,13.97,17.97,紧凑型SUV,SUV,燃油,5,,,272,2026,15220,2026-06,12,https://www.16888.com/129098/,https://www.16888.com/129098/options/,https://xl.16888.com/s/129098/,2026-07-10
129098_混动,129098,星越L 混动版,吉利汽车,14.57,17.77,紧凑型SUV,SUV,混动,5,,,163,2026,15220,2026-06,6,https://www.16888.com/129098/,https://www.16888.com/129098/options/,https://xl.16888.com/s/129098/,2026-07-10
129689_增程,129689,理想L8,理想,36.98,42.98,SUV,SUV,增程,5,,,156,2026,562,2026-06,2,https://www.16888.com/129689/,https://www.16888.com/129689/options/,https://xl.16888.com/s/129689/,2026-07-10
129589_增程,129589,理想L9,理想,45.98,50.98,大型SUV,SUV,增程,6,,,156,2026,6106,2026-06,2,https://www.16888.com/129589/,https://www.16888.com/129589/options/,https://xl.16888.com/s/129589/,2026-07-10
130178_增程,130178,理想L6,理想,24.98,27.98,SUV,SUV,增程,5,,,154,2025,915,2026-06,2,https://www.16888.com/130178/,https://www.16888.com/130178/options/,https://xl.16888.com/s/130178/,2026-07-10
130378_增程,130378,零跑C16 增程版,零跑汽车,14.58,17.18,SUV,SUV,增程,6,,,95,2027,6088,2026-06,8,https://www.16888.com/130378/,https://www.16888.com/130378/options/,https://xl.16888.com/s/130378/,2026-07-10
130378_纯电,130378,零跑C16 纯电版,零跑汽车,15.28,18.18,SUV,SUV,纯电,6,,,,2027,6088,2026-06,8,https://www.16888.com/130378/,https://www.16888.com/130378/options/,https://xl.16888.com/s/130378/,2026-07-10
130584_纯电,130584,智界R7 纯电版,LUXCEED 智界,24.98,31.98,SUV,SUV,纯电,5,,,,2026,969,2026-06,6,https://www.16888.com/130584/,https://www.16888.com/130584/options/,https://xl.16888.com/s/130584/,2026-07-10
130584_增程,130584,智界R7 增程版,LUXCEED 智界,24.98,31.98,SUV,SUV,增程,5,,,156,2026,969,2026-06,6,https://www.16888.com/130584/,https://www.16888.com/130584/options/,https://xl.16888.com/s/130584/,2026-07-10
130234_纯电,130234,深蓝S05 纯电版,深蓝汽车,11.99,14.99,紧凑型SUV,SUV,纯电,5,,,,2026,12228,2026-06,9,https://www.16888.com/130234/,https://www.16888.com/130234/options/,https://xl.16888.com/s/130234/,2026-07-10
130234_增程,130234,深蓝S05 增程版,深蓝汽车,12.99,14.59,紧凑型SUV,SUV,增程,5,,,98,2026,12228,2026-06,3,https://www.16888.com/130234/,https://www.16888.com/130234/options/,https://xl.16888.com/s/130234/,2026-07-10
129930_增程,129930,长安启源A07 增程版,长安启源,13.99,14.99,中大型车,掀背车,增程,5,,,98,2026,2638,2026-06,2,https://www.16888.com/129930/,https://www.16888.com/129930/options/,https://xl.16888.com/s/129930/,2026-07-10
129930_纯电,129930,长安启源A07 纯电版,长安启源,14.99,16.59,中大型车,掀背车,纯电,5,,,,2026,2638,2026-06,3,https://www.16888.com/129930/,https://www.16888.com/129930/options/,https://xl.16888.com/s/129930/,2026-07-10
129626_增程,129626,阿维塔11 增程版,阿维塔科技,28.99,28.99,SUV,SUV,增程,5,,,156,2025,133,2026-06,1,https://www.16888.com/129626/,https://www.16888.com/129626/options/,https://xl.16888.com/s/129626/,2026-07-10
