source_slug,brand,model_name,powertrain,price_usd,body_style,model_year,range_km,horsepower,seats,source_url,captured_at
zeekr-001,Zeekr,Zeekr 001,BEV,39676,Wagon,2024,705,789,5,https://chinacarprices.com/models/zeekr-001,2026-07-10
avatr-11,Avatr,Avatr 11,BEV,39808,SUV,2024,705,578,5,https://chinacarprices.com/models/avatr-11,2026-07-10
avatr-12,Avatr,Avatr 12,BEV,39808,Sedan,2024,700,578,5,https://chinacarprices.com/models/avatr-12,2026-07-10
nio-et5,NIO,NIO ET5,BEV,43953,Sedan,2024,560,489,5,https://chinacarprices.com/models/nio-et5,2026-07-10
li-l7,Li Auto,Li Auto L7,EREV,44513,SUV,2024,210,449,5,https://chinacarprices.com/models/li-l7,2026-07-10
hongqi-h9,Hongqi,Hongqi H9,ICE,45693,Sedan,2024,,252,5,https://chinacarprices.com/models/hongqi-h9,2026-07-10
tank-500,Great Wall (GWM),Tank 500,ICE,49410,SUV,2024,,354,7,https://chinacarprices.com/models/tank-500,2026-07-10
nio-es6,NIO,NIO ES6,BEV,49853,SUV,2024,490,489,5,https://chinacarprices.com/models/nio-es6,2026-07-10
denza-d9,Denza,Denza D9,PHEV,50118,MPV,2024,190,374,7,https://chinacarprices.com/models/denza-d9,2026-07-10
voyah-dreamer,Voyah,Voyah Dreamer,EREV,53083,MPV,2024,180,435,7,https://chinacarprices.com/models/voyah-dreamer,2026-07-10
li-l9,Li Auto,Li Auto L9,EREV,60442,SUV,2024,215,449,6,https://chinacarprices.com/models/li-l9,2026-07-10
nio-et7,NIO,NIO ET7,BEV,63127,Sedan,2024,675,644,5,https://chinacarprices.com/models/nio-et7,2026-07-10
zeekr-009,Zeekr,Zeekr 009,BEV,64749,MPV,2024,702,789,7,https://chinacarprices.com/models/zeekr-009,2026-07-10
nio-es8,NIO,NIO ES8,BEV,73451,SUV,2024,605,644,6,https://chinacarprices.com/models/nio-es8,2026-07-10
hongqi-e-hs9,Hongqi,Hongqi E-HS9,BEV,75192,SUV,2024,460,543,7,https://chinacarprices.com/models/hongqi-e-hs9,2026-07-10
li-mega,Li Auto,Li Auto Mega,BEV,82566,MPV,2024,710,536,7,https://chinacarprices.com/models/li-mega,2026-07-10
yangwang-u8,Yangwang,Yangwang U8,EREV,161947,SUV,2024,180,1180,5,https://chinacarprices.com/models/yangwang-u8,2026-07-10
yangwang-u9,Yangwang,Yangwang U9,BEV,247788,Coupe,2024,465,1300,2,https://chinacarprices.com/models/yangwang-u9,2026-07-10
